Distance in m,Latitude in °,Longitude in °,Altitude in °,X in m,Y in m,Z in m,v_max_day in km/h,v_max_night in km/h,Station,Switch,Urban
,49.81094093,8.646103979,165.7597298,4077190.625,619973.3338,4849372.241,30,FALSE,FALSE,FALSE,TRUE
,49.81093993,8.6461038,165.7617307,4077190.712,619973.334,4849372.171,30,FALSE,FALSE,FALSE,TRUE
,49.81093893,8.64610362,165.7635203,4077190.799,619973.3341,4849372.101,30,FALSE,FALSE,FALSE,TRUE
,49.81093793,8.64610344,165.7653615,4077190.886,619973.3343,4849372.03,30,FALSE,FALSE,FALSE,TRUE
,49.81093693,8.646103257,165.7672704,4077190.974,619973.3343,4849371.96,30,FALSE,FALSE,FALSE,TRUE
,49.81093593,8.64610308,165.7691857,4077191.061,619973.3346,4849371.889,30,FALSE,FALSE,FALSE,TRUE
,49.81093493,8.6461029,165.7711307,4077191.149,619973.3348,4849371.819,30,FALSE,FALSE,FALSE,TRUE
,49.81093392,8.646102718,165.7728722,4077191.236,619973.3349,4849371.748,30,FALSE,FALSE,FALSE,TRUE
,49.81093292,8.646102537,165.7748155,4077191.324,619973.335,4849371.677,30,FALSE,FALSE,FALSE,TRUE
,49.81093191,8.646102352,165.7769966,4077191.411,619973.3349,4849371.607,30,FALSE,FALSE,FALSE,TRUE
,49.81093091,8.646102173,165.7786683,4077191.499,619973.3352,4849371.536,30,FALSE,FALSE,FALSE,TRUE
,49.8109299,8.646101991,165.7807019,4077191.587,619973.3353,4849371.465,60,FALSE,FALSE,FALSE,TRUE
,49.81092889,8.646101808,165.7826368,4077191.675,619973.3353,4849371.394,60,FALSE,FALSE,FALSE,TRUE
,49.81092788,8.646101625,165.7843709,4077191.762,619973.3353,4849371.323,60,FALSE,FALSE,FALSE,TRUE
,49.81092688,8.646101444,165.7867089,4077191.85,619973.3356,4849371.253,60,FALSE,FALSE,FALSE,TRUE
,49.81092586,8.646101257,165.788195,4077191.938,619973.3353,4849371.181,60,FALSE,FALSE,FALSE,TRUE
,49.81092485,8.646101073,165.7903204,4077192.027,619973.3353,4849371.111,60,FALSE,FALSE,FALSE,TRUE
,49.81092384,8.646100889,165.7921468,4077192.115,619973.3353,4849371.039,60,FALSE,FALSE,FALSE,TRUE
,49.81092283,8.646100703,165.7940724,4077192.203,619973.3352,4849370.968,60,FALSE,FALSE,FALSE,TRUE
,49.81092182,8.646100518,165.7959472,4077192.291,619973.3351,4849370.897,60,FALSE,FALSE,FALSE,TRUE
,49.81092081,8.646100333,165.7979348,4077192.38,619973.3351,4849370.826,60,FALSE,FALSE,FALSE,TRUE
,49.81091979,8.646100147,165.7998651,4077192.468,619973.335,4849370.754,60,FALSE,FALSE,FALSE,TRUE
,49.81091878,8.646099962,165.8017902,4077192.557,619973.335,4849370.683,60,FALSE,FALSE,FALSE,TRUE
,49.81091776,8.646099776,165.8036724,4077192.645,619973.3349,4849370.612,60,FALSE,FALSE,FALSE,TRUE
,49.81091675,8.646099592,165.8053376,4077192.733,619973.3349,4849370.54,60,FALSE,FALSE,FALSE,TRUE
,49.81091573,8.646099404,165.8073348,4077192.822,619973.3348,4849370.468,60,FALSE,FALSE,FALSE,TRUE
,49.81091471,8.646099218,165.8091204,4077192.911,619973.3347,4849370.397,60,FALSE,FALSE,FALSE,TRUE
,49.81091369,8.646099031,165.8110902,4077193,619973.3347,4849370.325,60,FALSE,FALSE,FALSE,TRUE
,49.81091267,8.646098845,165.8129704,4077193.089,619973.3346,4849370.253,60,FALSE,FALSE,FALSE,TRUE
,49.81091165,8.646098662,165.8150663,4077193.178,619973.3348,4849370.182,60,FALSE,FALSE,FALSE,TRUE
,49.81091063,8.646098471,165.816718,4077193.267,619973.3344,4849370.11,60,FALSE,FALSE,FALSE,TRUE
,49.81090961,8.646098283,165.8184371,4077193.355,619973.3343,4849370.038,60,FALSE,FALSE,FALSE,TRUE
,49.81090859,8.646098095,165.8202551,4077193.445,619973.3342,4849369.966,60,FALSE,FALSE,FALSE,TRUE
,49.81090756,8.646097908,165.8220721,4077193.534,619973.3341,4849369.894,60,FALSE,FALSE,FALSE,TRUE
,49.81090654,8.646097718,165.8237577,4077193.623,619973.3338,4849369.822,60,FALSE,FALSE,FALSE,TRUE
,49.81090551,8.646097531,165.8255858,4077193.712,619973.3338,4849369.749,60,FALSE,FALSE,FALSE,TRUE
,49.81090449,8.646097344,165.8272477,4077193.801,619973.3337,4849369.677,60,FALSE,FALSE,FALSE,TRUE
,49.81090346,8.646097155,165.829019,4077193.891,619973.3335,4849369.605,60,FALSE,FALSE,FALSE,TRUE
,49.81090244,8.646096967,165.830734,4077193.98,619973.3334,4849369.532,60,FALSE,FALSE,FALSE,TRUE
,49.81090141,8.646096779,165.8325221,4077194.07,619973.3334,4849369.46,60,FALSE,FALSE,FALSE,TRUE
,49.81090038,8.646096588,165.8341519,4077194.159,619973.3331,4849369.387,60,FALSE,FALSE,FALSE,TRUE
,49.81089935,8.6460964,165.8359241,4077194.249,619973.333,4849369.315,60,FALSE,FALSE,FALSE,TRUE
,49.81089832,8.646096211,165.8375359,4077194.338,619973.3328,4849369.242,60,FALSE,FALSE,FALSE,TRUE
,49.81089729,8.646096022,165.8391039,4077194.428,619973.3327,4849369.169,60,FALSE,FALSE,FALSE,TRUE
,49.81089626,8.646095833,165.8407962,4077194.517,619973.3326,4849369.097,60,FALSE,FALSE,FALSE,TRUE
